"mn_no","rst_no","menu","price"
1,1,"점심 단품",16000
2,1,"점심 단품",34000
3,2,"세트",75000
4,2,"세트",150000
5,3,"점심 단품",35000
6,3,"저녁 세트",99000
7,4,"점심 단품",8000
8,4,"저녁 단품",88000
9,5,"점심 세트",45000
10,5,"단품",141000
11,6,"단품",45000
12,6,"단품",100000
13,7,"점심 세트",150000
14,7,"저녁 세트",300000
15,8,"점심 세트",52000
16,8,"단품",213000
17,9,"점심 단품",9000
18,9,"저녁 세트",860000
19,10,"점심 세트",50000
20,10,"저녁 세트",100000
21,11,"점심 단품",42000
22,11,"저녁 세트",400000
23,12,"점심 단품",44000
24,12,"저녁 단품",96000
25,13,"점심 세트",39000
26,13,"저녁 세트",13000
27,14,"점심 세트",30000
28,14,"세트",250000
29,15,"점심 세트",45000
30,15,"저녁 세트",120000
31,16,"단품",67000
32,16,"단품",115000
33,17,"단품",64000
34,17,"단품",137000
35,18,"점심 세트",30000
36,18,"단품",137000
37,19,"단품",39000
38,19,"단품",61000
39,20,"점심 세트",14000
40,20,"단품",64000
41,21,"단품",43000
42,21,"단품",65000
43,22,"점심 단품",64000
44,22,"저녁 단품",126000
45,23,"단품",42000
46,23,"단품",68000
47,24,"저녁 단품",70000
48,24,"저녁 단품",115000
49,25,"점심 세트",120000
50,25,"저녁 세트",230000
51,26,"점심 세트",45000
52,26,"저녁 세트",128000
53,27,"단품",9000
54,27,"단품",45000
55,28,"점심 단품",45000
56,28,"저녁 단품",100000
57,29,"단품",30000
58,29,"단품",350000
59,30,"점심 세트",75000
60,30,"저녁 세트",230000
61,31,"단품",25000
62,31,"저녁 세트",65000
63,32,"단품",14000
64,32,"저녁 세트",180000
65,33,"단품",15000
66,33,"단품",50000
67,34,"단품",70000
68,34,"저녁 세트",360000
69,35,"점심 단품",14400
70,35,"저녁 세트",240000
71,36,"단품",10000
72,36,"단품",107000
73,37,"단품",13000
74,37,"단품",114000
75,38,"세트",43000
76,38,"저녁 세트",100000
77,39,"단품",9000
78,39,"단품",88000
79,40,"단품",56000
80,40,"단품",228000
81,41,"단품",31000
82,41,"단품",124000
83,42,"단품",46000
84,42,"단품",131000
85,43,"단품",8500
86,43,"단품",32000
87,44,"단품",34400
88,44,"단품",53400
89,45,"점심 세트",39000
90,45,"단품",128000
91,46,"점심 단품",11000
92,46,"단품",143000
93,47,"단품",15000
94,47,"단품",43000
95,48,"점심 세트",39000
96,48,"저녁 세트",88000
97,49,"점심 세트",49000
98,49,"저녁 세트",115000
99,50,"점심 세트",66000
100,50,"저녁 세트",160000
101,51,"단품",18000
102,51,"단품",30000
103,52,"점심 단품",85000
104,52,"저녁 세트",130000
105,53,"점심 세트",150000
106,53,"저녁 세트",300000
107,54,"점심 세트",60000
108,54,"저녁 세트",230000
109,55,"점심 세트",45000
110,55,"저녁 세트",200000
111,56,"점심 세트",50000
112,56,"저녁 세트",150000
113,57,"점심 세트",150000
114,57,"저녁 세트",250000
115,58,"단품",40000
116,58,"단품",320000
117,59,"점심 세트",65000
118,59,"저녁 세트",190000
119,60,"단품",70000
120,60,"세트",138000
121,61,"점심 세트",45000
122,61,"저녁 세트",132000
123,62,"단품",29000
124,62,"단품",64000
125,63,"점심 단품",52000
126,63,"저녁 단품",180000
127,64,"점심 단품",80000
128,64,"저녁 단품",135000
129,65,"점심 단품",8000
130,65,"저녁 단품",14000
131,66,"단품",38000
132,66,"세트",250000
133,67,"단품",11000
134,67,"단품",65000
135,68,"세트",21000
136,68,"저녁 세트",160000
137,69,"단품",48000
138,69,"단품",120000
139,70,"단품",11000
140,70,"단품",70000
141,71,"점심 세트",69000
142,71,"저녁 세트",20000
143,72,"점심 단품",17000
144,72,"단품",82000
145,73,"점심 세트",60000
146,73,"저녁 세트",300000
147,74,"단품",23000
148,74,"단품",28000
149,75,"단품",24000
150,75,"단품",75000
151,76,"단품",11000
152,76,"저녁 세트",55000
153,77,"점심 세트",59000
154,77,"저녁 세트",160000
155,78,"단품",38000
156,78,"단품",38000
157,79,"단품",6000
158,79,"단품",7000
159,80,"점심 세트",55000
160,80,"저녁 세트",13000
161,81,"단품",20000
162,81,"단품",95000
163,82,"단품",15000
164,82,"단품",49000
165,83,"점심 세트",97000
166,83,"단품",336000
167,84,"단품",9000
168,84,"세트",77000
169,85,"점심 세트",29000
170,85,"세트",120000
171,86,"점심 세트",38000
172,86,"저녁 세트",150000
173,87,"점심 세트",58000
174,87,"저녁 세트",300000
175,88,"점심 세트",90000
176,88,"저녁 세트",200000
177,89,"점심 세트",45000
178,89,"단품",168000
179,90,"단품",39000
180,90,"단품",62000
181,91,"단품",46000
182,91,"단품",125000
183,92,"점심 세트",41800
184,92,"저녁 세트",71500
185,93,"세트",150000
186,93,"세트",150000
187,94,"단품",12000
188,94,"단품",90000
189,95,"세트",45000
190,95,"세트",95000
191,96,"단품",9000
192,96,"저녁 세트",70000
193,97,"단품",35000
194,97,"단품",280000
195,98,"점심 단품",8000
196,98,"단품",42000
197,99,"단품",17000
198,99,"단품",200000
199,100,"단품",80000
200,100,"저녁 세트",385000
201,101,"단품",36000
202,101,"단품",50000
203,102,"점심 단품",11000
204,102,"점심 세트",18000
205,103,"단품",8000
206,103,"단품",34000
207,104,"단품",85000
208,104,"단품",56000
209,105,"단품",7000
210,105,"단품",13000
211,106,"단품",24000
212,106,"단품",28000
213,107,"단품",7000
214,107,"단품",16000
215,108,"단품",12000
216,108,"단품",12000
217,109,"점심 단품",11000
218,109,"세트",55000
219,110,"점심 단품",10000
220,110,"단품",80000
221,111,"점심 단품",11000
222,111,"단품",100000
223,112,"점심 단품",12000
224,112,"단품",25000
225,113,"단품",14000
226,113,"단품",55000
227,114,"단품",10000
228,114,"단품",60000
229,115,"점심 단품",6000
230,115,"저녁 단품",53000
231,116,"단품",8000
232,116,"단품",18000
233,117,"단품",8000
234,117,"단품",43000
235,118,"단품",11000
236,118,"단품",38000
237,119,"단품",90000
238,119,"단품",41000
239,120,"단품",85000
240,120,"단품",15000
241,121,"단품",7000
242,121,"단품",15000
243,122,"단품",10000
244,122,"단품",43000
245,123,"단품",8000
246,123,"단품",35000
247,124,"단품",13000
248,124,"단품",80000
249,125,"단품",12000
250,125,"단품",25000
251,126,"단품",6000
252,126,"단품",68000
253,127,"점심 단품",7000
254,127,"저녁단품",120000
255,128,"단품",8000
256,128,"단품",180000
257,129,"점심 단품",8000
258,129,"단품",18000
259,130,"단품",14000
260,130,"단품",21000
261,131,"단품",8000
262,131,"단품",25000
263,132,"점심 단품",9000
264,132,"단품",45000
265,133,"단품",7000
266,133,"단품",38000
267,134,"점심 단품",7000
268,134,"단품",35000
269,135,"단품",8000
270,135,"단품",10000
271,136,"단품",10000
272,136,"단품",20000
273,137,"점심 단품",11000
274,137,"저녁 단품",65000
275,138,"점심 세트",60000
276,138,"저녁 세트",135000
277,139,"단품",12000
278,139,"단품",40000
279,140,"단품",65000
280,140,"단품",15000
281,141,"단품",9000
282,141,"단품",10000
283,142,"단품",8000
284,142,"저녁 세트",70000
285,143,"단품",15000
286,143,"단품",84000
287,144,"단품",90000
288,144,"단품",30000
289,145,"저녁 단품",9000
290,145,"저녁 세트",53000
291,146,"단품",8000
292,146,"단품",36000
293,147,"단품",65000
294,147,"단품",54000
295,148,"단품",10000
296,148,"단품",40000
297,149,"단품",11000
298,149,"단품",35000
299,150,"단품",28000
300,150,"단품",35000
301,151,"점심 세트",100000
302,151,"저녁 세트",250000
303,152,"단품",11000
304,152,"단품",32000
305,153,"단품",17000
306,153,"단품",35000
307,154,"점심 세트",58000
308,154,"저녁 세트",220000
309,155,"단품",75000
310,155,"단품",40000
313,157,"단품",11000
314,157,"세트",66000
315,158,"단품",25000
316,158,"단품",30000
317,159,"단품",8000
318,159,"단품",35000
319,160,"점심 단품",7000
320,160,"단품",65000
321,161,"단품",9000
322,161,"단품",53000
323,162,"점심 단품",5000
324,162,"저녁 단품",10000
325,163,"점심 세트",75000
326,163,"저녁 세트",150000
327,164,"점심 세트",50000
328,164,"저녁 세트",130000
329,165,"점심 세트",55000
330,165,"저녁 세트",150000
331,166,"세트",240000
332,166,"새트",240000
333,167,"점심 세트",60000
334,167,"저녁 세트",125000
335,168,"점심 세트",30000
336,168,"저녁 세트",95000
337,169,"점심 세트",70000
338,169,"세트",190000
339,170,"점심 세트",65000
340,170,"저녁 세트",145000
341,171,"점심 세트",75000
342,171,"저녁 세트",248000
343,172,"단품",60000
344,172,"단품",270000
345,173,"점심 세트",150000
346,173,"저녁 세트",500000
347,174,"점심 세트",50000
348,174,"저녁 세트",100000
349,175,"점심 세트",55000
350,175,"저녁 세트",110000
351,176,"단품",18500
352,176,"단품",75000
353,177,"점심 세트",50000
354,177,"저녁 세트",100000
355,178,"세트",80850
356,178,"세트",231000
357,179,"점심 세트",60000
358,179,"저녁 세트",120000
359,180,"점심 세트",66000
360,180,"저녁 세트",185000
361,181,"점심 세트",75000
362,181,"저녁 세트",150000
363,182,"점심 세트",60000
364,182,"저녁 세트",138000
365,183,"점심 세트",66000
366,183,"저녁 세트",200000
367,184,"점심 세트",200000
368,184,"저녁 세트",380000
369,185,"저녁 세트",220000
370,185,"저녁 세트",290000
371,186,"점심 세트",103000
372,186,"저녁 세트",270000
373,156,"물냉면",11000
374,156,"비빔냉면",11000
375,156,"만두",11000
376,156,"온면",11000
377,156,"제육(200g)",22000
378,156,"수육(200g)",27000
