"catag_no","upper_no","catag_nm"
10,0,"요리유형"
11,10,"아시아"
12,10,"양식"
13,10,"일식"
14,10,"중식"
15,10,"퓨전"
16,10,"한식"
1101,11,"타이"
1102,11,"아시안"
1103,11,"타이완"
1201,12,"프렌치"
1202,12,"프렌치 컨템포러리"
1203,12,"이탤리언"
1204,12,"이탤리언 컨템포러리"
1205,12,"스패니쉬"
1206,12,"스테이크"
1207,12,"유러피언 컨템포러리"
1301,13,"재패니즈 컨템포러리"
1302,13,"스시"
1303,13,"바비큐"
1304,13,"테판야끼 "
1305,13,"소바"
1306,13,"라멘"
1307,13,"우동"
1401,14,"차이니즈 컨템포러리"
1501,15,"이노베이티브"
1502,15,"바비큐"
1601,16,"게장"
1602,16,"곰탕"
1603,16,"냉면"
1604,16,"도가니탕"
1605,16,"돼지국밥"
1606,16,"두부"
1607,16,"만두"
1608,16,"메밀국수"
1609,16,"바비큐"
1610,16,"불고기"
1611,16,"사찰음식"
1612,16,"삼계탕"
1613,16,"설렁탕"
1614,16,"수제비"
1615,16,"육회"
1616,16,"족발"
1617,16,"추어탕"
1618,16,"칼국수"
1619,16,"코리안 컨템포러리"
